id,question
51563,Use the laws of logarithms to express each side of the equation as a single logarithm.   Then compare both sides of the equation to solve.   `$ \displaystyle \log x  = 2\log 4 + 3 \log 3	 $`
51564,Use the laws of logarithms to express each side of the equation as a single logarithm.   Then compare both sides of the equation to solve.   `$ \displaystyle \log_2 x = 2\log_2 7  +\log_2 5 $`
51565,Write each expression as a single log.  `$ \displaystyle  2\log 8 + \log 9 - \log 36 $`
51566,Write each expression as a single log.  `$ \displaystyle \log_43 + \frac{1}{2}\log_48  -\log_42 $`
51567,Write each expression as a single log.  `$ \displaystyle  \log_3 12 + \log_3 2 -\log_36 $`
51568,Write each expression as a single log.  `$ \displaystyle 2\log_23 + \log_25 $`
51569,Write each expression as a single log.  `$ \displaystyle  2\log_38 -  5\log_32	 $`
51572,"Use the laws of logarithms to express each of the following int terms of `$\log_b x , \log_by$`, and `$\log_bz$`.  `$ \displaystyle \log_bxyz $`"
51573,Express each of the following as a logarithm of a product of quotient.  `$ \displaystyle \log_82  + 3\log_82 + \frac{1}{2} \log_816 $`
51574,Express each of the following as a logarithm of a product of quotient.  `$ \displaystyle \log_354 + \log_3(\frac{3}{2}) $`
51575,Express each of the following as a logarithm of a product of quotient.  `$ \displaystyle \log_2 \sqrt{36}  - \log_2\sqrt{72} $`
51576,Express each of the following as a logarithm of a product of quotient.  `$ \displaystyle \log_66\sqrt{6} $`
51577,Use the laws of logarithms to simplify and then evaluate each expression.  `$ \displaystyle  \log \sqrt{10}  $`
51578,Use the laws of logarithms to simplify and then evaluate each expression.  `$ \displaystyle \log 50 + \log 2 $`
51579,Use the laws of logarithms to simplify and then evaluate each expression.  `$ \displaystyle \log_510 + \log_52.5	 $`
51580,Use the laws of logarithms to simplify and then evaluate each expression.  `$ \displaystyle \log_3135 - \log_35	 $`
51581,Express each of the following in the form  `$r \log_ax$`.  `$ \displaystyle \log_7(36)^{0.5} $`
51582,Express each of the following in the form  `$r \log_ax$`.  `$ \displaystyle \log\sqrt[3]{45}  $`
51583,Express each of the following in the form  `$r \log_ax$`.  `$ \displaystyle \log_mp^q   $`
51584,Express each of the following as a logarithm of a product of quotient.  `$ \displaystyle  \log_34 - \log_32 $`
51585,Express each of the following as a logarithm of a product of quotient.  `$ \displaystyle  \log x  - \log y $`
51586,Express each of the following as a logarithm of a product of quotient.  `$\displaystyle \log 5 + \log 7 $`
51587,Write the expression as a difference of logarithms.  `$ \displaystyle \log_4 (\frac{81}{30}) $`
51588,Write the expression as a sum of difference of logarithms.  `$ \displaystyle \log_m(\frac{p}{q})	  $`
51590,Write `$g(x)$` in terms of `$f(x)$` when `$f(x) = \log_2x$` to the graph `$g(x)  = \log_2(8x^3)$`.
52317,"If `$\log_b(a^2) = 3$`, which of the following is the value of `$\log_a(b^2)$`?  `$ \displaystyle \begin{array}{cccccc}  &(A) &  \frac{5}{3} &(B) &  \frac{3}{4}		&(C)&  2\frac{2}{3}  &(D) & \frac{4}{3}		 &(E) &  \frac{3}{2} \\ \end{array} $`  "
52318,"If `$a + b = 3$` and `$a^2 + b^2 = 7$`, then what is the value of `$a^4 + b^4$`?  `$ \displaystyle \begin{array}{ccccc}  &(A) &  45		&(B)& 47		&(C) &  49  &(D) &  51		 &(E)&  81\\ \end{array} $`  "
52319,"A triangle is contracted so that its base is a diagonal of a certain square and its area is equal to that of the square.    Express the length of the altitude of the triangle in terms of the square's side length, `$s$`."
52320,"If `$\log_{\sin x}(\cos x) = \frac{1}{2}$`, and `$0 < x < \frac{\pi}{2}$`, what is the value of `$\sin x$`?  * **A.** `$\frac{1}{\sqrt{3}}$` * **B.** `$\frac{\sqrt{5}-1}{2}$` * **C.** `$\frac{2}{\sqrt{3}}$` * **D.** `$\frac{\sqrt{5} + 1}{3}$` * **E.** `$\frac{2\sqrt{5} - 1}{2}$` "
52321,"Astronauts in space have just encountered three unknown stars and assigned them temporary names.  Their absolute magnitude are recorded.  #979   How much brighter, in absolute terms, is the brightest of these three stars than the   * i) second brightest? * ii) least brightest?  "
52322,"How bright a star appears can depend on how much light the star actually emits and how far away it is.  The stellar magnitude scale can be adjusted to account for distance as follows:  * `$ \displaystyle M_2-M_1 = \log(\frac{b_1}{b_2}) $`  Here, M refers to a star's absolute  magnitude, that is, how brightly it appears from a standard distance of 10 parsecs (or 32.6 light-years).    The absolute brightness of Sirius is 1.4 and the absolute brightness of Betelgeuse is -8.1.  (a) Which of these two stars is brighter in absolute terms, and by how much?  (b)  What does this suggest about these two starts' distance from Earth?"
52323,"The stellar magnitude scale compares the brightness of stars using the equation  * `$ \displaystyle m_2-m_1 = \log(\frac{b_1}{b_2}) $`  where `$m_1$` and `$m_2$` are the apparent magnitudes of the two stars being compared (how bright they appear in the sky) and `$b_1$` and `$b_2$` are their brightness (how much light they actually emit).  This relationship does not factor in how far from Earth the stars are.   (a) Sirius is the brightest-appearing star in our sky, with an apparent magnitude of `$-1.5$`.   How much brighter does Sirius appear than Betelgeuse, whose apparent magnitude is 0.12?  (b) The Sun appears about `$1.3 \times 10^{10}$` times as brightly in our sky as does sirius.   What is the apparent magnitude of the Sun?"
52324,"The most intense earthquakes measured have had a value of about 8.9 on the Richter scale.   How do these earthquakes compare in intensity to a standard, low-level earthquake?"
52325,"On February 10, 2000, an earthquake happened in Welland, Ontario, that measured 2.3 on the Richter scale.   (a) How many times as intense was this as a standard low-level earthquake?  (b) On July 22, 2001, an earthquake in St. Catharines measured 1.1 on the Richter scale.  How many times ass intense as the St. Catharines earthquake was the Welland earthquake?"
52326,"On September 26, 2001, an earthquake in North Bay, Ontario, occurred that was 10 000 times as intense as `$I_0$`.   What was the measure of this earthquake on the Richter scale?"
52327,The sound intensity of a pin drop is about `$\frac{1}{30000}$` of the sound intensity of a normal conversation.   What wish the decibel level of a pin drop?
52328,A loud car stereo has a decibel level of `$110$` dB.      How many times as intense as the sound of a loud car stereo is the sound of a rock concert speaker?  * Intensity of shout = 80 * Intensity of normal voice = 60 * Intensity of whisper = 30 * Intensity of car stereo = 110 * Intensity of rock concert = 150 
52329,How many times as intense is the sound of a shout as the sound of a   a) conversation  b) whisper  when    * Intensity of shout = 80 * Intensity of normal voice = 60 * Intensity of whisper = 30  
52330,Determine the pH of a solution with a hydronimum ion concentration of   `$ \displaystyle \begin{array}{ccccccc}  &(a) & 0. 000 01 	 &(b)&2.5 \times 10^{11}\\ \end{array} $` 
52331,"The hydronium ion concentration of most chemicals varies from about `$10^{-15} mol/L$` to `$0.1 mol/L$`.   Given this fact, why do you suppose that the pH scale was created   (a) in terms of a logarithmic function  (b) with a factor of `$-1$`"
52332,"Determine the hydronium ion concentration, in moles per litre, of a solution with each pH.  `$ \displaystyle \begin{array}{ccccccc}  &(a) & 11	&(b)&3 \\ &(c) & 8.5	&(d) &  4.4 \\ \end{array} $` "
52333,Determine the pH of a solution with each hydronium ion concentration.  `$ \displaystyle \begin{array}{ccccccc}  &(a) &0.01	&(b)& 0.000 034 \\ &(c) & \log 10^{-9}	&(d) & 1.5 \times 10^{-10} \\ \end{array} $` 
52334,3  Richter Scale
52335,2  Decibel Scale
52336,1  pH Scale
53463,Decibel Scale
53464,Richter Scale
53465,pH Scale
54011,Calculate to two decimal places the pH of a solution with each concentration of `$H^+$`.  (a) concentration of `$H^+ = 0.000 32$`  (b) concentration of `$H^+ = 0.000 3$`  (c) concentration of `$H^+ = 0. 000 045$`  (d) concentration of `$H^+ = 0.005$`
54012,"A new car has an interior sound level of 80dB at 50 km/h.    A second car, at the same speed, has an interior sound level that is two times more intense than that of the new car.   Calculate the sound level inside the second car."
54013,"Calculate the hydrogen ion concentration of each substance.  * oven cleaner, with a pH of 13"
54014,"A wound, initially with an area of `$80 cm^2$`, heals according to the formula `$A(t)= 80(10^{-0.023t})$`, where `$A(t)$` is the area of the wound in square centimetres after `$t$` days of healing.  In how many days will 75% of the wound be healed?"
54015,"Calculate the hydrogen ion concentration of each substance.  * an egg, with a pH of 7.8"
54016,"How long will it take for $2500 to accumulate to $4000 if it is invested at an interest rate of 6.5%/a, compounded annually?"
54017,"Calculate the hydrogen ion concentration of each substance.  * milk, with a pH of 6.6"
54018,"Dry cleaners use a cleaning fluid that is purified by evaporation and condensation after each cleaning cycle.   Every time the fluid is purified, 2.1% of it is lost.   The fluid has to be topped up when half of the original build remains.   After how many cycles will the fluid need to be topped up?"
54019,"Calculate the hydrogen ion concentration of each substance.  * baking soda, with a pH of 9"
54020,The loudness of a heavy snore is 69 dB.  How many times as loud as a normal conversation of 60 dB is a heavy snore?
54021,A particular sound is 1 000 000 times more intense than a sound you ca just barely hear.   What is the loudness of the sound in decibels?
54022,Calculate the pH of a swimming pool with a hydrogen ion concentration of `$6.21\times 10^{-8} mol/L$`.
54023,"If one earthquake has a magnitude of 5.2 on the Richter scale and a second earthquake has a magnitude of 6, compare the intensities of the two earthquakes."
54024,"The intensity, I, of light passing through water can be modelled by the equation `$I= 10^{1-0.13x}$`, where `$x$` is the depth of the water in metres.   Most aquatic plants require a light intensity of 4.2 units for strong growth.   Determine the depth of water at which most aquatic plants receive the required light."
54025,The sound level of a moving power lawn mower is 109 dB.   The noise level in front of the amplifiers at a concert is about 118 dB.   How many times louder is the noise at the front of the amplifiers than the noise of a moving power lawn mower?
54026,Drinking water from a particular tap has a pH  between 6.3 and 6.6.   Is this tap water more or less acidic than distilled water?   Explain your answer.
54027,Distilled water has an `$H^+$` concentration of `$10^{-7} mol/L$`.  Calculate the pH of distilled water.
54217,Simplify  `$ \displaystyle (\log_{49}\sqrt{125})(\log_5\sqrt[3]{7}) $` 
54220,"If `$a = \log_2(3x - 1)$` and `$b = \log_4(2x)$`, write `$\log_4(\frac{9x^2-6x+1}{4x^2})$` in terms of a and b."
54222,"If `$a = \log(1 + \frac{1}{7})$` and `$b = \log(1 + \frac{1}{49})$`, express `$\log 7$` in terms of `$a$` and `$b$`."
54223,Simplify  `$ \displaystyle  (\log_881+\log_{\frac{1}{8}}3)(\log_881-\log_{\sqrt{8}}3) $`
55742,"Graph `$f(x) = -\frac{1}{2}\log(x + 5)-1$` showing:  * symmetry, if any * x intercept, if any * y intercept, if any * asymptotes, if any * domain and range"
74123,  Find the value of   `$ \displaystyle (-2^{\log_{\sqrt{2}}\frac{1}{3}})\times(\log_{2}8) $`   
74124, Evaluate the expression.  `$ \displaystyle \log_7(\log 10^{49}) $`
74125, Evaluate the expression.  `$ \displaystyle \log_{2}\log_3(3^{128}) $`
74126, Evaluate the expression.  `$ \displaystyle \log \log 10^{100} $`
74127, Evaluate the following using the property `$\displaystyle \log_a a^x  = x$`  `$ \displaystyle  \log_{0.5}2 $`
74128, Evaluate the following using the property `$\displaystyle \log_a a^x  = x$`  `$ \displaystyle  \log_{121}11  $`
74129, Evaluate the following using the property `$\displaystyle \log_a a^x  = x$`  `$ \displaystyle \log_9 27^2 $`
74130, Evaluate the following using the property `$\displaystyle \log_a a^x  = x$`  `$ \displaystyle \log_981 $`
74131, Evaluate the following using the property `$a^{\log_a x}  = x$`  `$ \displaystyle 125^{-\log_56} $`
74132, Evaluate the following using the property `$a^{\log_a x}  = x$`  `$ \displaystyle 25^{\log_5 125} $`
74133, Evaluate the following using the property `$a^{\log_a x}  = x$`  `$ \displaystyle 27^{\log_93} $`
74134, Evaluate the following using the property `$a^{\log_a x}  = x$`  `$ \displaystyle 2^{2\log_43 } $`  
74135, Evaluate the following without a calculator  `$ \displaystyle \log_864 $`
74136, Evaluate the following without a calculator  `$ \displaystyle \log_{0.5}16 $`
74137, Evaluate the following without a calculator  `$ \displaystyle  \log_3 27^2 $`
74138, Evaluate the following without a calculator  `$ \displaystyle \log_93 $`
74139, Evaluate the following using the property `$a^{\log_a x}  = x$`  `$ \displaystyle  5^{-\log_56}  $`
74140, Evaluate the following using the property `$a^{\log_a x}  = x$`  `$ \displaystyle 5^{\log_5 125} $`
74141, Evaluate the following using the property `$a^{\log_a x}  = x$`  `$ \displaystyle 3^{\log_93} $`
74142, Evaluate the following using the property `$a^{\log_a x}  = x$`  `$ \displaystyle 2^{2\log_23} $`
74143, Evaluate the expression.  `$ \displaystyle  2^{\log_{2}{3}} + 1 $`
74144, Evaluate the expression.  `$ \displaystyle 2^{\log_{2}{13}}	 $`
74145, Evaluate the expression.  `$ \displaystyle \log_{4}{4^{a + b}}  $`
74146, Evaluate the expression.  `$ \displaystyle \log_{7}\frac{1}{49} $`
74147, Evaluate the expression.  `$ \displaystyle \begin{array}{cccc} &(i)&\log_{7}1							&(ii) & \log_{4}{1024} \\ \end{array} $`
74148, Evaluate the expression.  `$ \displaystyle \log_{10}100 $`
74149, Evaluate the expression.  `$ \displaystyle \log_{3}\sqrt{27} $`
74150,Isolate x.  `$ \begin{array}{ccccccc} 	&(a) & 3^x = 32		&				(b)& 5^x = 66 \\ 	&(c)&10^x = 157						&(d) &1.03^x = 1.69 \\ 	&(e) & 4.5^x = 600							&(f) & \log 1.07^x = 2 \\ \end{array} $` 
74151," Change the following to logarithmic notation, `$x = a^y$`.  `$ \begin{array}{ccccccc} &(a) & \log_{4}1024 = 5					&(b)  &\log_{7}7 = 1 \\ 	&(c)& \log_{6}7776 = 5			&(d)& \log_{a}p = r  \\ \end{array} $`"
